movieId,title,genres
933937287531,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
933937293736,Jumanji (1995),Adventure|Children|Fantasy
933937296059,Grumpier Old Men (1995),Comedy|Romance
933937302298,Waiting to Exhale (1995),Comedy|Drama|Romance
933937307316,Father of the Bride Part II (1995),Comedy
933937311533,Heat (1995),Action|Crime|Thriller
933937313757,Sabrina (1995),Comedy|Romance
933938366278,Tom and Huck (1995),Adventure|Children
933938371662,Sudden Death (1995),Action
933938375905,GoldenEye (1995),Action|Adventure|Thriller
933938380757,"American President, The (1995)",Comedy|Drama|Romance
933938383032,Dracula: Dead and Loving It (1995),Comedy|Horror
933938386452,Balto (1995),Adventure|Animation|Children
933938389688,Nixon (1995),Drama
933938396070,Cutthroat Island (1995),Action|Adventure|Romance
933938400216,Casino (1995),Crime|Drama
933938404083,Sense and Sensibility (1995),Drama|Romance
933938408702,Four Rooms (1995),Comedy
933938411461,Ace Ventura: When Nature Calls (1995),Comedy
933938416623,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
933938418723,Get Shorty (1995),Comedy|Crime|Thriller
933938424256,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
933938427800,Assassins (1995),Action|Crime|Thriller
933938430428,Powder (1995),Drama|Sci-Fi
933938437111,Leaving Las Vegas (1995),Drama|Romance
933938441032,Othello (1995),Drama
933938444131,Now and Then (1995),Children|Drama
933938446430,Persuasion (1995),Drama|Romance
933938451147,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
933938457963,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
933938458935,Dangerous Minds (1995),Drama
933938464105,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
933938467173,Babe (1995),Children|Drama
933938471045,Dead Man Walking (1995),Crime|Drama
933938477108,It Takes Two (1995),Children|Comedy
933938481820,Clueless (1995),Comedy|Romance
933938483848,"Cry, the Beloved Country (1995)",Drama
933938487706,Richard III (1995),Drama|War
933938491564,Dead Presidents (1995),Action|Crime|Drama
933938498326,Restoration (1995),Drama
933938501801,Mortal Kombat (1995),Action|Adventure|Fantasy
933938507503,To Die For (1995),Comedy|Drama|Thriller
933938511650,How to Make an American Quilt (1995),Drama|Romance
933938515819,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
933938516811,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
933938523871,When Night Is Falling (1995),Drama|Romance
933938524239,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
933938530684,Mighty Aphrodite (1995),Comedy|Drama|Romance
933938534508,Lamerica (1994),Adventure|Drama
933938538236,"Big Green, The (1995)",Children|Comedy
933938543638,Georgia (1995),Drama
933938547730,Home for the Holidays (1995),Drama
933938552628,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
933938554615,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
933938560925,Eye for an Eye (1996),Drama|Thriller
933938563069,Mr. Holland's Opus (1995),Drama
933938566360,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
933938571237,Two if by Sea (1996),Comedy|Romance
933938573456,Bio-Dome (1996),Comedy
933938579294,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
933938581652,French Twist (Gazon maudit) (1995),Comedy|Romance
933938587780,Friday (1995),Comedy
933938592653,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
933938595388,Fair Game (1995),Action
933938598900,Kicking and Screaming (1995),Comedy|Drama
933938602550,"Misérables, Les (1995)",Drama|War
933938607694,Bed of Roses (1996),Drama|Romance
933938613203,Big Bully (1996),Comedy|Drama
933938617830,Screamers (1995),Action|Sci-Fi|Thriller
933938622053,Nico Icon (1995),Documentary
933938625815,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
933938628826,"Juror, The (1996)",Drama|Thriller
933938633552,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
933938635090,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
933938640045,Antonia's Line (Antonia) (1995),Comedy|Drama
